RegionID,RegionName,City,State,Metro,CountyName,2015-01,2016-01,2016-02,B01001_011E,B01001_035E,B02001_002E,B02001_003E,B02001_004E,B02001_005E,B02001_006E,B02001_007E,B02001_008E,B03001_003E,B19013_001E,B19113_001E,B25001_001E,B25002_002E,B25003_002E,B25075_023E,B25075_024E,B25075_025E,B25002_003E,B25077_001E,B25064_001E
66908.0,21550,Mountain Lake Park,MD,,Garrett,98.0,95.0,95.0,368,401,14045,141,2,60,20,15,210,92,41589,50816,8338,5761,4169,136,21,79,2577,158500,661
73253.0,34994,Stuart,FL,Port St. Lucie,Martin,93.0,106.0,107.0,454,319,13112,2327,20,225,0,775,303,1652,36282,59435,9273,7228,4350,140,136,147,2045,111100,883
65866.0,19341,Exton,PA,Philadelphia,Chester,152.0,156.0,156.0,585,445,14282,594,14,1784,0,81,227,397,89423,112759,7037,6751,4216,498,53,0,286,347100,1339
89933.0,73108,Oklahoma City,OK,Oklahoma City,Oklahoma,49.0,46.0,46.0,655,786,11105,759,502,25,0,1588,1141,9375,28093,27632,5579,4614,1551,0,0,0,965,47900,605
96632.0,92082,Valley Center,CA,San Diego,San Diego,238.0,249.0,251.0,492,534,16027,127,1270,727,88,1185,401,4765,79348,85374,6748,6251,5085,1418,270,104,497,442800,1036
68549.0,25302,Charleston,WV,Charleston,Kanawha,57.0,60.0,61.0,387,498,12368,1319,14,98,0,40,1167,105,45350,50799,8182,6987,4605,0,0,0,1195,96000,700
84981.0,61443,Kewanee,IL,Davenport,Henry,42.0,45.0,45.0,322,453,12065,584,36,70,0,677,435,1798,39141,49161,6506,5699,3840,50,0,11,807,63200,587
73404.0,35235,Birmingham,AL,Birmingham,Jefferson,66.0,68.0,68.0,716,884,8616,10075,39,178,6,80,79,382,50153,59620,8969,8054,5775,0,0,0,915,114700,965
85347.0,62223,Belleville,IL,St. Louis,Saint Clair,73.0,73.0,73.0,355,589,13317,3684,0,80,0,58,205,322,55290,64878,7953,7152,5347,56,27,10,801,122300,843
58429.0,01569,Uxbridge,MA,Worcester,Worcester,158.0,166.0,167.0,401,209,13144,80,0,266,0,98,115,164,88125,98720,4984,4837,3989,94,14,0,147,277900,1151
78741.0,47725,Evansville,IN,Evansville,Vanderburgh,90.0,95.0,95.0,326,448,15145,261,12,459,0,85,516,181,83311,92500,6277,6017,5556,191,27,19,260,178800,1118
65530.0,18603,Berwick,PA,Bloomsburg,Columbia,61.0,67.0,68.0,535,558,18616,126,0,226,0,169,227,597,43685,52417,8665,8003,5554,25,10,13,662,114200,705
72708.0,33605,Tampa,FL,Tampa,Hillsborough,54.0,56.0,56.0,736,743,5419,10901,362,123,0,491,429,4396,26363,28428,8053,6575,2752,0,7,5,1478,78900,786
94963.0,85501,Globe,AZ,Payson,Gila,78.0,80.0,80.0,339,301,11290,228,711,129,0,620,388,4564,40400,52803,6033,5113,3504,8,0,9,920,99500,705
60777.0,07730,Hazlet,NJ,New York,Monmouth,177.0,188.0,189.0,597,432,15570,482,0,1043,0,116,72,1153,88723,101772,6162,5960,5365,222,58,0,202,319400,723
69376.0,27517,Chapel Hill,NC,Durham,Orange,148.0,153.0,153.0,764,1097,18980,1015,50,1597,5,1099,727,1930,82302,112199,11496,10619,7467,1430,480,470,877,370400,1076
67223.0,22305,Alexandria,VA,Washington,Alexandria City,416.0,431.0,430.0,1077,1204,11811,2216,10,786,28,677,673,5605,84021,98859,6938,6127,2310,929,420,99,811,578800,1406
100045.0,98951,Wapato,WA,Yakima,Yakima,80.0,83.0,83.0,575,538,8410,152,3055,285,33,1481,400,8001,38024,34803,3913,3636,2063,21,0,0,277,113200,654
58754.0,02382,Whitman,MA,Boston,Plymouth,172.0,188.0,190.0,465,449,14012,105,0,187,0,132,207,285,76494,92996,5562,5399,3941,107,9,11,163,281400,1083
97691.0,94301,Palo Alto,CA,San Jose,Santa Clara,1397.0,1557.0,1558.0,750,648,12509,243,0,3365,0,60,750,1025,134907,203958,7683,7266,3722,185,311,3059,417,1000001,1924
71547.0,31520,Brunswick,GA,Brunswick,Glynn,52.0,54.0,54.0,646,973,8552,11665,45,108,0,1205,575,2055,27670,31848,10417,8627,3793,70,16,15,1790,89200,715
84468.0,60415,Chicago Ridge,IL,Chicago,Cook,125.0,127.0,127.0,735,615,11717,1118,0,475,0,702,346,2043,47037,48045,5847,5463,2726,0,0,16,384,156900,899
94729.0,85013,Phoenix,AZ,Phoenix,Maricopa,156.0,180.0,181.0,817,761,14998,1257,983,960,6,1662,613,4361,46920,60557,11205,9736,4236,219,169,85,1469,187700,824
64930.0,17104,Harrisburg,PA,Harrisburg,Dauphin,43.0,44.0,43.0,638,1068,6075,10355,134,939,11,1932,1687,5787,28580,32113,9220,7970,3268,10,0,0,1250,80200,756
58486.0,01776,Sudbury,MA,Boston,Middlesex,284.0,290.0,290.0,118,232,16180,8,13,1469,0,103,424,379,169505,180278,6127,6011,5690,2556,1028,655,116,636300,533
63951.0,15220,Pittsburgh,PA,Pittsburgh,Allegheny,104.0,106.0,105.0,784,1196,13836,964,35,2024,56,73,655,195,64581,82123,8762,7979,4820,10,0,28,783,144300,907
66141.0,20018,Washington,DC,Washington,District of Columbia,292.0,314.0,314.0,634,730,2457,15725,39,75,0,330,208,1206,55210,73796,8107,7382,4121,543,85,0,725,355900,796
63835.0,15017,South Fayette Township,PA,Pittsburgh,Allegheny,108.0,112.0,112.0,398,575,14641,245,0,671,0,19,254,150,59898,80303,7688,7025,5051,140,9,15,663,155200,813
93813.0,81601,Glenwood Springs,CO,"Glenwood Springs, CO",Garfield,233.0,258.0,260.0,850,451,14259,211,108,122,0,1112,556,5030,61063,76737,6615,6140,3648,692,251,111,475,406200,1127
93115.0,79903,El Paso,TX,El Paso,El Paso,66.0,66.0,67.0,532,577,16135,231,135,105,0,959,230,16305,27659,34544,6991,6435,3663,0,0,0,556,86500,522
96137.0,90305,Inglewood,CA,"Los Angeles-Long Beach-Anaheim, CA",Los Angeles,252.0,263.0,265.0,198,376,1501,12666,55,141,61,643,434,1777,62558,75620,6244,5837,3924,388,28,33,407,355300,1216
66136.0,20012,Washington,DC,Washington,District of Columbia,362.0,371.0,372.0,468,478,3564,9387,43,298,9,885,470,1765,81265,96563,6280,5761,3557,1248,523,239,519,546400,1168
73056.0,34237,Sarasota,FL,"North Port-Sarasota-Bradenton, FL",Sarasota,107.0,122.0,124.0,886,568,15129,1423,19,181,0,456,317,5582,39769,39912,7997,6827,3360,28,0,0,1170,97200,951
69496.0,27712,Durham,NC,Durham,Durham,99.0,104.0,104.0,354,396,14963,4559,20,476,0,476,350,1568,77816,90377,8238,7981,7215,172,52,80,257,193400,1198
77511.0,45220,Cincinnati,OH,Cincinnati,Hamilton,103.0,109.0,109.0,1230,1086,9905,2652,32,1887,0,90,368,261,33637,80200,7863,6747,2134,178,51,5,1116,255900,666
96384.0,91361,Westlake Village,CA,Ventura,Ventura,388.0,408.0,407.0,560,364,17404,204,74,1173,14,665,732,1772,103306,131672,8694,8272,6246,1769,1532,1710,422,769400,1908
75198.0,39183,Vicksburg,MS,Vicksburg,Warren,70.0,66.0,65.0,447,515,7423,6886,0,102,0,19,153,202,42370,52480,7186,5687,3709,53,22,18,1499,107400,647
62255.0,11782,Sayville,NY,New York,Suffolk,205.0,205.0,205.0,311,367,14540,77,15,182,0,80,151,801,109225,129375,6606,5405,4415,994,272,46,1201,423600,1662
73023.0,34145,Marco Island,FL,Naples,Collier,331.0,371.0,373.0,160,19,16482,106,0,173,0,38,122,1052,73031,83333,18426,8100,6922,1814,756,692,10326,475900,1583
82287.0,55437,Bloomington,MN,Minneapolis-St Paul,Hennepin,203.0,201.0,202.0,561,641,15069,820,110,919,0,217,650,641,70113,89559,8252,7879,5703,335,8,60,373,249500,936
90805.0,75253,Dallas,TX,Dallas-Fort Worth,Dallas,66.0,75.0,76.0,795,917,14506,2505,222,0,0,1467,316,11225,34788,34781,6183,5507,3526,0,5,46,676,64000,891
63506.0,14305,Niagara Falls,NY,Buffalo,Niagara,51.0,51.0,51.0,479,408,11046,5333,150,29,41,123,527,491,33295,44180,8312,6722,3917,58,16,17,1590,75000,665
73007.0,34114,Naples,FL,Naples,Collier,152.0,163.0,165.0,223,187,11987,677,5,172,0,536,203,2577,56051,61890,11354,5783,4681,327,95,59,5571,171900,1192
